# Protein abundances computed from file '/tmp/knime_labelfree_MSGFp66336/fs-Conse_0-134-66343/000/000/ConsensusMapNormalizer_0/20190103_A1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"ssr3129"	1	0	1	0	0	0	0	0	0	0	15297900	0	0
"ssr3188"	1	0	1	45077700	132310000	14113000	53535600	39479900	38640100	0	43854900	0	0
"ssr3304"	1	0	2	50214700	57523300	53023700	32335600	47327600	56000300	96454496	0	51616300	39547700
"ssr3341"	1	0	3	35676800	28509200	19269600	13582600	0	29068200	0	41558400	10004600	0
"ssr3383"	1	0	5	7899636764	5931385232	6825550036	7644125444	5489937462	6967841296	6588137673	5178618056	6061962323	3919875357
"ssr3402"	1	0	3	171763300	209944620	217714000	134192700	93371904	179535696	201729204	92848700	211450804	277085904
"ssr3409"	1	0	1	0	0	0	0	6171230	3201850	0	0	0	0
"ssr3451"	1	0	2	182395008	169128000	210154000	110311000	0	877113024	128789000	841745680	121258000	517155000
"ssr3532"	1	0	1	15000600	0	0	0	0	0	0	0	0	0
"ssr3550"	1	0	1	0	0	0	0	0	0	16411200	0	0	501944
"ssr5117"	1	0	1	0	0	0	0	0	9623980	0	0	0	0
"ssr6048"	1	0	3	84761400	29768300	71976900	42756200	119353000	77597100	47968100	16527400	86033000	79771700
"ssr7084"	1	0	1	0	566388	0	0	0	0	0	0	0	0
"ssr8013"	1	0	1	6532960	5119010	2479130	4852640	0	2088980	3401400	5370820	0	0
