# Protein abundances computed from file '/media/storage/timothy/tmp/knime_labelfree_MSGFp27083/fs-Conse_0-134-27089/000/000/ConsensusMapNormalizer_0/20190125_FA_005_R1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN', 11: 'UNKNOWN', 12: 'UNKNOWN', 13: 'UNKNOWN', 14: 'UNKNOWN', 15: 'UNKNOWN', 16: 'UNKNOWN', 17: 'UNKNOWN', 18: 'UNKNOWN', 19: 'UNKNOWN', 20: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"	"abundance_11"	"abundance_12"	"abundance_13"	"abundance_14"	"abundance_15"	"abundance_16"	"abundance_17"	"abundance_18"	"abundance_19"	"abundance_20"
"CONT_sp|ADH1_YEAST|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	425945984	0	0	0	0	0	0	315928000	153726000
"CONT_sp|BGAL_ECOLI|"	1	0	1	0	0	0	3687660	0	0	0	0	0	0	0	0	0	0	0	3143100	0	0	0	0
"CONT_sp|CAH2_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	364899	0	0	0	0	0	0	0	0	204842	0	0
"CONT_sp|CATA_HUMAN|"	1	0	1	0	0	0	0	0	0	0	8663450	95413296	0	0	0	0	0	0	0	0	0	0	0
"CONT_sp|CO5_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	48796000	0	0	0	0	0	0	0
"CONT_sp|DHE3_BOVIN|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4570140	0	0	0
"CONT_sp|EGF_HUMAN|"	1	0	3	0	0	0	0	0	0	0	0	0	0	0	103355000	58152900	0	55537900	0	0	0	0	77976651.6015625
"CONT_sp|GAG_SCVLA|"	1	0	2	0	0	0	60054000	43241300	0	0	42368200	0	28318601	0	0	0	0	0	0	0	0	0	0
"CONT_sp|GELS_HUMAN|"	1	0	3	316700000	0	0	0	129563000	0	0	0	0	0	0	0	0	0	0	4543790	129330000	0	0	0
"CONT_sp|HBB_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	0	15506700	0	0	0	0	0	0	0	0	0	0
"CONT_sp|K1C10_HUMAN|"	1	0	3	0	0	0	0	0	0	0	0	76840400	0	255457904	0	0	0	0	0	8165205	0	0	0
"CONT_sp|K1C9_HUMAN|"	1	0	2	0	1109040	0	0	0	0	0	0	610958	0	2846690	0	0	0	1023250	0	19014900	0	1774230	0
"CONT_sp|K2C1_HUMAN|"	1	0	5	40150800	0	0	0	0	0	0	0	89886890	0	0	0	0	0	0	0	99106400	0	0	0
"CONT_sp|KRA3_SHEEP|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25309700	0	0	0	0
"CONT_sp|KRHB4_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	69614.3984375	0	0	36906.8984375	0	4499900	282700	0
"CONT_sp|NQO2_HUMAN|"	1	0	1	0	303830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CONT_sp|RS27A_HUMAN|"	1	0	2	0	0	0	0	0	0	0	0	9604580	0	0	0	3790330	0	0	0	0	0	0	0
"CONT_sp|SYH_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7175170	0	0	0	0	0
"CONT_sp|TRYP_PIG|"	1	0	1	0	0	0	0	0	0	16500800	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O07451|HYPF2_CUPNH"	1	0	1	0	57347700	0	0	0	0	0	0	20194200	0	0	0	0	0	10769200	0	0	0	0	0
"sp|O30334|URE3_CUPNH"	1	0	1	9181160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O30338|UREE_CUPNH"	1	0	1	46705700	0	0	0	10310100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O34162|HEMN_CUPNH"	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	349850092	628584449	85645696	70471909	116734196	0	24991100	45510700
"sp|O68273|DUSC_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933974
"sp|O87816|FDHD_CUPNH"	1	0	9	130617560	120912710	50916500	81575130	333287488	386756300	415600104	339479880	572230192	430631652	611033882	537569350	628000880	382219172	675537134	719271050	578932352	470742770	399111240	612704352
"sp|P14611|THIL_CUPNH"	1	0	22	26944843742	16347842564	12436040464	17117007556	22743378858	19644308948	25496065704	20109952890	21435235420	14911427064	18645565440	18271729888	25529600264	12167960032	16281054354	18014688974	21316710150	9343115654	13500980560	14796777728
"sp|P14697|PHAB_CUPNH"	1	0	14	23469391780	25239494842	23049586264	24021891602	22396602759	18760287444	20040000250	19529268733	17893575937	25247286031	22561693610	17306502661	9171856400	11733830164	12333836352	12381916188	6914486944	12541471276	10911662478	11895039015
"sp|P19911|F16A2_CUPNH"	1	0	6	1391900316	689883384	461495664	743490512	1295433592	756185112	2448101992	1264134508	2804058368	1349508984	1078887176	1707524984	5029232928	1878249688	1783430476	3944537330	4807703784	2121677388	1675367984	1703801472
"sp|P19912|F16A3_CUPNH"	1	0	6	1356789328	464588404	273403300	603024092	1112276412	673208112	1540712992	901785424	1557738016	779071908	1007682416	1090122508	3027298440	1191515108	991224876	2279750676	2820749488	1043862584	973526016	1226311904
"sp|P19923|KPPR2_CUPNH"	1	0	4	1003843208	7948369236	6381943856	11964630724	4514287868	15134298788	6248712536	9320831224	4131508524	9768428388	12645925016	15217578228	3284893004	10354414496	8187206064	11031042848	4094526858	19986633992	21075238448	15118108368
"sp|P19924|KPPR1_CUPNH"	1	0	4	1245850168	3764287008	3795631260	6347412620	3366880000	5828197048	2060890008	5509087204	3273895672	7965936928	6631398912	10697248752	1019951136	6059844096	9064297920	3413181230	1904007972	10160860520	7356818064	15171613976
"sp|P21725|TKTC_CUPNH"	1	0	12	803527042	2620010040	2382548396	1283960616	5099153164	1258637916	2207554480	3116504192	4138619740	2785524864	4963117144	3496345820	5666138968	3185993692	7520465592	9394969416	6165474642	7854276184	5178451964	5465947438
"sp|P21726|TKTP_CUPNH"	1	0	13	855642350	1155356508	1013498600	1041115176	1704622492	1003669096	1572067728	1489671560	1777215984	2202548404	2144210784	2504421196	2302761394	2206851136	2078650462	2561673240	2586270868	2370298046	2112365944	3087451160
"sp|P22317|HOXF_CUPNH"	1	0	45	42386571409	43998566418	30866738847	66776688396	40486163675	33902524952	27402433126	51467987094	16604292886	29736557852	29950651092	28922298988	22186267314	35748543566	25976221250	29839055088	25586077742	31400705040	40549832896	24801476656
"sp|P22318|HOXU_CUPNH"	1	0	17	5634996251	4958226490	3013228560	2376486942	5025519726	2053934389	2763289508	1592697264	3071517090	1981349304	2104022746	1327618060	2684975977	1964580908	2593498380	2057786572	2820939867	2102847534	2109849310	2162826744
"sp|P22319|HOXY_CUPNH"	1	0	12	10795491977	2930816084	1449999884	1999221728	1977423635	1293303724	7531313318	1393694316	826631074	892206062	1145697084	409545510	4049443290	1121875592	1083144404	2946284076	4710272306	1098430972	609593108	687163570
"sp|P22320|HOXH_CUPNH"	1	0	37	38468778884	21791431918	9460747686	17227327153	23573715208	11211180776	21867342296	18236256758	14870975301	10578216042	15784539227	13322958392	23078235776	9860973804	15172112308	22779886408	22354216676	9337553106	10095373360	18001172372
"sp|P23536|PT1_CUPNH"	1	0	12	125912300	48097400	0	0	146592494	13960590	199377454	78459200	154131140	87796500	209789304	197020880	229742480	156497756	263923736	233854050	140968200	11178200	809273992	34547370
"sp|P23608|PHAC_CUPNH"	1	0	8	963025992	59858100	0	220951608	252784800	219144992	41402700	70351200	247528192	0	0	0	326565900	5444250	0	119026796	827821692	68359696	0	182352992
"sp|P27745|ACOA_CUPNH"	1	0	5	53076200	981690000	107769000	742032000	0	778645969	31029400	508051940	0	196664992	0	0	0	0	0	0	0	0	0	0
"sp|P27746|ACOB_CUPNH"	1	0	5	30895700	215205996	0	22131470	0	0	63130700	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|P27747|ACOC_CUPNH"	1	0	3	14040700	61476700	53515000	42921500	0	23908100	20636700	21811900	0	0	0	0	0	0	0	0	0	0	0	0
"sp|P27748|ACOX_CUPNH"	1	0	1	0	0	0	0	918993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|P28613|HPF_CUPNH"	1	0	8	949211000	3042489232	1320712476	3150562752	789182184	2028777608	2277218071	957299000	583464816	1499269000	894896320	889568884	842804008	848042808	785367100	766289396	617706008	499391704	213340300	261508000
"sp|P28615|RP54_CUPNH"	1	0	10	361829800	264222400	127459404	46469900	230354083	897727964	136146600	223145681	335230200	39177696	186995600	236423550	84953400	114055800	79024700	42343600	60433140	146124500	985863324	55432500
"sp|P29267|HOXA_CUPNH"	1	0	11	585248050	131119696	0	42717950	157093610	37089620	226002100	56610140	123315900	48196580	187380990	53048020	452977834	60837000	319236818	338306228	405929308	12673170	275053724	84277350
"sp|P31638|ACSA_CUPNH"	1	0	6	310859008	65464700	100402000	262122700	262581304	56305900	437232204	203767108	405185400	93272600	25506700	91497800	297010000	183169200	140556800	406773008	271370992	401357992	184528600	348918200
"sp|P31891|MBHL_CUPNH"	1	0	31	7089416360	4127163040	1576260596	2543485504	4886478542	1950948640	4264182248	2286856118	3242422414	1799152230	1655253310	1622500716	6073500884	3008218376	3365228330	4742814782	7129762056	2711422806	2496018882	2753999260
"sp|P31892|MBHS_CUPNH"	1	0	14	588315690	841048396	354973100	527387792	1274108708	613068896	519116678	396990700	691948600	770467970	466968500	249436896	856971142	789962884	710808512	666296454	370832374	662563592	903353682	763056384
"sp|P31898|CYBH_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1008330	0	0	0	4413420	0	0	0
"sp|P31899|HOXL_CUPNH"	1	0	2	0	159171008	107629196	0	0	208335096	0	0	0	0	87155000	0	0	202692992	171318000	159624992	33320700	83437104	168604992	291799008
"sp|P31900|HYPC_CUPNH"	1	0	4	776888228	12798200	0	33103700	145557000	7065510	434294608	8337790	32254700	0	24424650	6111080	667779400	0	24997200	161243200	524233484	6582100	0	14371020
"sp|P31901|HYPA_CUPNH"	1	0	5	499859100	2348386056	1044339204	5228511528	301891000	1324367800	303014000	3170347232	232399600	701211908	674942016	1940430912	145948000	1600080032	1312143932	322826108	140263200	883014304	801280008	930132792
"sp|P31902|HYPB_CUPNH"	1	0	13	15111738348	3696723556	2098735504	2329095716	4040185636	1886895912	8380023336	1533002092	4077390216	3808444692	3943386060	2529217116	12006214908	2664794304	3399984196	5976677022	10574562185	2250876104	2235777092	2705038828
"sp|P31903|HYPD_CUPNH"	1	0	12	629104596	920823692	120481704	285134792	333156684	278985350	434877200	116689730	136139340	507128570	532056196	509841000	649941006	725357644	756394848	752482800	584312600	404163804	412698370	1035641854
"sp|P31905|HYPE_CUPNH"	1	0	14	1945971244	6863787232	6919685216	5755769236	4030464468	4965731538	3680775962	4969631962	2297147960	3545898536	3276971724	7929256300	1142581122	2577236662	3636062724	1076208258	1039422112	3049733536	2483335570	3867874916
"sp|P31909|HOXM_CUPNH"	1	0	3	53043400	425601984	284960992	529508016	0	0	275395587	420942000	95600496	119955000	224331504	114034000	68709000	0	0	80164096	148913904	0	0	201957504
"sp|P31910|HOXO_CUPNH"	1	0	5	737914992	480231896	382639200	254489900	762890708	387262796	1425027892	361850000	502704192	368405104	387977004	448063296	1866651584	539176304	505084600	1120928808	1292750452	475987400	511836208	554793000
"sp|P31911|HOXQ_CUPNH"	1	0	9	436391000	248347004	81236000	170160800	404637116	124662896	241160296	164102600	226144500	241772204	662941896	245955796	692808088	267233300	319112100	303743496	703474722	50600600	193123104	433703636
"sp|P31914|HOXV_CUPNH"	1	0	9	46355560	220070000	0	0	43388500	0	0	0	16220340	0	0	65253000	43169210	145766000	286777984	36006100	43897720	71576704	0	152272100
"sp|P39185|NAPA_CUPNH"	1	0	13	1073437706	211823000	59457680	62007400	4312580	0	49451000	0	0	0	0	0	0	0	0	0	10832200	0	0	0
"sp|P39186|NAPB_CUPNH"	1	0	1	91175904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|P39662|HMP_CUPNH"	1	0	14	1754869296	1079174584	471277712	1099106970	1391499108	779315702	1621901196	986862748	4338485784	3369008394	2364978954	1967343724	20335361138	13318385160	6361128870	14724255636	12243756478	7829657236	6427819796	10499500320
"sp|P40117|RPEC_CUPNH"	1	0	4	337144600	325657300	160384892	200556000	315910900	236283200	382234090	105495000	358165316	299120108	310408992	280989196	468044500	282360500	351886292	32295800	492191792	429607508	343161984	237009008
"sp|P40118|CBXXC_CUPNH"	1	0	6	533256126	289464000	563910016	343660000	574035968	1544099968	970034500	322263716	674446976	2108037308	1480242108	917435040	765353274	527372000	1106833224	1647221384	700518722	174136992	315774016	840100704
"sp|P40119|CBBYC_CUPNH"	1	0	6	1323371026	2112652936	2052461384	1491598608	2047099920	1409985524	2220364628	2409009868	2194776684	2651990500	4691570652	4008401438	3898382100	1238613884	2523168524	1795666856	3720556060	2916216280	2663901432	3245269732
"sp|P40289|Y669_CUPNH"	1	0	8	40243200	0	100660000	0	71626700	388248996	136323200	0	61373900	0	22160500	0	164254700	469643216	90351800	78301300	180549200	249133000	0	0
"sp|P40852|GPHC_CUPNH"	1	0	9	582214708	266766346	1635396988	1202679984	2104305188	2022317826	1877766182	2755251518	2944040320	1761366190	2721368644	4086111672	3435891764	2459063092	2445564336	3461218768	3448921004	2591850936	4992162626	8293868248
"sp|P40853|GPHP_CUPNH"	1	0	8	771809042	1887251600	3166936476	1591456344	1831736972	1362034224	3298443212	1368663668	1971439824	2924460984	2773723032	2373787936	2847856808	3805134046	1745815906	3350732696	3024969432	4472407594	4459855974	2625188060
"sp|P42721|RBL1P_CUPNH"	1	0	1	94188600	3285080	0	0	7532800	1603760	2520660	0	9406097	0	2086610	0	160275508	2199100	1643650	14953080	295230000	2028610	0	4136360
"sp|P45805|HYPF1_CUPNH"	1	0	10	2076311020	2716331084	2403693268	2523367268	1573977594	2366623856	2404812428	5767066884	1627788298	2630904756	3680441996	3452578944	2205193442	3327966944	2989901614	2078178000	2248248446	3241544700	2950043192	2115794106
"sp|P46368|DHA2_CUPNH"	1	0	3	185521700	137655008	0	91336800	52578330	0	0	0	5753640	0	0	0	0	0	0	0	13934400	0	0	0
"sp|P50319|PGKC_CUPNH"	1	0	6	1326048982	188893900	116900000	172319200	667408192	317209508	2735911828	390407400	768269320	482012020	663352492	612719698	4730336698	691986816	804613208	3367615160	4545715774	615884495	631804288	854082624
"sp|P50320|PGKP_CUPNH"	1	0	10	4482747148	2218879068	2095296808	2166020196	3085681852	2622479012	6562805808	2378912888	3972341184	3825277428	4217093532	3781050228	7352657658	4748352016	3678180576	6810137792	7903086524	5736165880	4052039896	4374025826
"sp|P50321|G3PC_CUPNH"	1	0	3	8884880	965972276	1610157188	193471650	14652780	66320790	320358052	6373820	118813356	500301432	355502708	53657160	142125570	687914956	3815291584	87143530	124772480	271977200	628588228	118591696
"sp|P50322|G3PP_CUPNH"	1	0	2	157841700	828525794	917921204	632688584	523287804	1536692682	1744153822	352238908	1393407400	3308600612	1250763154	1465737132	1077133799	1698952960	1801876000	3755074140	945159318	2882059392	1345903636	1426013384
"sp|P52992|DLDH_CUPNH"	1	0	27	3952736244	3832335260	3323143896	1811399860	4003703828	3649006954	4838337590	1774744962	3778935540	3637537608	2908620204	1922174664	3521296690	3443830648	3390551492	2897060892	2891498588	2614704148	3314410150	1645327434
"sp|P52993|ODO2_CUPNH"	1	0	19	8825939516	1981869836	1732276220	1739377012	2217705380	1629437380	6057228102	1434632900	2271877222	1748292996	2245278468	1328619416	4201006800	1329080916	1981803084	4231123826	5008860708	1627559900	1563421576	1400512604
"sp|Q04539|RPEP_CUPNH"	1	0	4	1373199648	2663423296	2879930896	1322355524	1827574944	2259769424	2275902316	1389513400	1526405556	2570688000	2072997632	1652761120	1181119820	1351924232	2359802300	1092236624	1387851296	726134238	1217522016	1561358444
"sp|Q04540|CBXXP_CUPNH"	1	0	1	0	0	0	0	23917700	0	67687200	0	8309760	0	0	0	122049000	0	0	71177696	96053296	0	0	0
"sp|Q04541|CBBYP_CUPNH"	1	0	3	1005649008	658057016	1087442624	1992632992	1500745132	4227983040	1493535616	4239358976	2552550016	1432920960	1348249984	1651970048	1199639860	3094771936	2765480064	104699464	1131678016	2252285400	732345874	1968819968
"sp|Q07251|LDH_CUPNH"	1	0	5	0	18882600	21638100	107200696	20265900	0	26069200	54210300	14175600	32377700	153636992	0	36283900	191937296	112595000	100860700	22390900	101709400	36606800	236753400
"sp|Q0JY21|RF3_CUPNH"	1	0	6	22454400	0	0	0	0	0	0	0	0	0	0	0	93153900	257586958	0	134983396	132334900	1375420	14813600	70840096
"sp|Q0JYN7|KU_CUPNH"	1	0	1	21785400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K0L8|HGD_CUPNH"	1	0	4	129895800	119422196	0	271313008	0	127251000	87705600	0	83288000	170311008	61312800	64283236	23164500	90103904	144850900	124886800	21517500	116067000	0	67446600
"sp|Q0K0V6|METE_CUPNH"	1	0	71	14639748940	11568571318	11793540524.1992	18085469429	62120952668	30274554832	51836186866	46824105632	57041518579	38435936518	51420359352	50044947720	91203263070	73523062797	76065686431	113686972021	94914232182	72863133472	74877526768	89605902684
"sp|Q0K0X8|GLGB_CUPNH"	1	0	1	0	198244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K181|FDHE_CUPNH"	1	0	11	1217764832	1279106744	1843702224	774858016	669160153	1020925900	1756181813.5	899397724	328122364	2670174644	1321454441	2507207740	1663496622	1602921584	2801348949	500410247	1380727698	1883428824	1659654976	1487343500
"sp|Q0K1E0|RBL1C_CUPNH"	1	0	1	74394500	5617341	0	0	10010650	0	16788490	1166400	15065700	0	2815070	2201750	206519100	3363759	2344020	17906370	328757400	2226280	1361330	3465660
"sp|Q0K1H0|1A1D_CUPNH"	1	0	2	17571600	0	4328190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K292|Y5091_CUPNH"	1	0	6	55453510	61428000	264094000	779233642	59950400	497105400	127324400	1488761316	81907300	273666400	526341692	782017228	41359400	277665992	251536704	127001700	53326300	312423400	490189000	137192000
"sp|Q0K2D1|PQQB_CUPNH"	1	0	1	4765390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K2R3|FLHC_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24696100	0	0	0	0	0	0	0
"sp|Q0K3R9|RBKTP_CUPNH"	1	0	1	3532760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K3S6|ACDH1_CUPNH"	1	0	1	0	0	0	0	0	0	16626500	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K4F5|PDXA2_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	6533950	0	0	0	0	0	0	0	0	0	0	0
"sp|Q0K5B8|RL34_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	673006	0	0	0	1421110	0	0	0
"sp|Q0K5C1|YIDC_CUPNH"	1	0	10	73524700	7159790	0	0	15788100	0	13853100	0	195129800	0	0	0	185220200	0	0	9711910	628893402	0	0	0
"sp|Q0K5L6|MNMG_CUPNH"	1	0	11	126824600	5971820	3061570	76735300	39674800	35817840	122499000	82790010	46823100	114020740	175918280	205016680	314644900	89532704	8698130	157069096	263288230	114947304	241240520	57830210
"sp|Q0K5L7|RSMG_CUPNH"	1	0	3	71442500	252882600	316145808	0	103692800	58904600	115376000	0	57446400	207816000	189399008	169014000	68035100	63690800	46301200	82951696	48418000	90218400	25641800	0
"sp|Q0K5M3|ATPF_CUPNH"	1	0	4	251131864	129087100	69470500	52528700	41591900	87098400	0	37189800	347860592	0	79651700	92924300	5908790	38849500	82028000	0	205968400	73633300	65691000	25978600
"sp|Q0K5M4|ATPD_CUPNH"	1	0	12	6415839079	6636147576	5576766748	5715232720	6162259060	6738846984	4856395008	3268403164	4525595296	4523240736	3628323416	3629639024	3795898004	3255596328	2923266536	4163606368	3849458464	3287511528	2576954256	4349704328
"sp|Q0K5M5|ATPA_CUPNH"	1	0	34	21369943580	9595653002	6136185498	9576621896	18364846758	12444684570	17652870822	12141357704	19407647615	13685950992	15938243722	15417404652	26183813584	14970432628	15105153848	25029316664	23619321626	14471080580	12858372230	13682511440
"sp|Q0K5M6|ATPG_CUPNH"	1	0	16	2820552358	4405452600	4912063360	4488865648	3843565964	5033858812	4046013794	2441180780	3805266162	5880808340	4770862532	2072876176	3625906466	5354720980	4426899840	4370668102	2986104094	5423973928	3966469094	6111493860
"sp|Q0K5M7|ATPB_CUPNH"	1	0	26	33607697600	43612798920	28600596346	23381714148	29722815184	33106837512	36301414940	34394359718	29638778672	41542985766	36861338784	39454124056	34382388276	47837319356	41486604080	37808670376	30523779578	40860275472	29489347436	34865733244
"sp|Q0K5M8|ATPE_CUPNH"	1	0	9	4562928346	5596080824	5527689712	4806798900	3365132772	4962404156	5202280784	3377560964	3527385280	5074555380	3444556324	5537973992	3714370940	2578740408	3014218700	3523638200	3052170200	3165508960	2615304584	2915805428
"sp|Q0K5N1|DCUP_CUPNH"	1	0	9	301246804	805857600	509296900	929301620	773219984	755154008	697700600	1295273984	712929696	635820000	1197069984	1134709916	686673700	1030854096	1261587816	813924188	617758604	570887300	1453888364	1059793496
"sp|Q0K5N7|GCS2_CUPNH"	1	0	7	210684604	0	80590400	389745092	191199700	119708000	0	304014900	45718000	0	10377500	100744100	0	264044400	0	20921200	48455600	0	0	125080000
"sp|Q0K5P5|GCST_CUPNH"	1	0	11	490195308	593996432	520079192	823761888	283956800	804877592	388229588	1022658868	235420300	479072796	694559496	604439008	593709556	1216489976	834176396	569694992	426946024	731507716	655203584	364831200
"sp|Q0K5Z9|EFTU_CUPNH"	1	0	33	107334246094	88689740392	70399733956	97935951147	100587561775	94338614992	106596500422	92930364958	103312665174	94968931946	82462731154	108457239444	105135536492	91680042740	97858721456	111124803398	100032301034	102435946946	105094686574	89893654386
"sp|Q0K602|RL11_CUPNH"	1	0	4	3290866400	475104600	356313504	302389800	1114840064	349840992	1729539816	434317408	835082200	322649984	495366016	402237008	3524270080	531468000	833971976	2009505952	2498960012	650375016	496454016	433910016
"sp|Q0K603|RL1_CUPNH"	1	0	16	6420233362	2157088422	2033026312	1616070360	3992268382	3472796000	11131391940	2301962182	3584574214	3227308274	3616715038	3498821816	8948389908	4092060752	3535476346	9770663422	8780788118	4205201124	3882963444	4049490142
"sp|Q0K604|RL10_CUPNH"	1	0	9	4262988108	12555506744	7694716892	6083482290	12739726894	10602305776	8566010976	9347616542	14542988302	12749426464	17027344910	10122172212	9539168492	14209305810	14607354264	8188328078	10296034888	20659109182	15074694428	12106771840
"sp|Q0K605|RL7_CUPNH"	1	0	5	3900237828	21263963636	18997384884	20943777140	15063550716	24846291660	11038731792	20655436664	14476080488	28184380916	28475597352	29463144354	6890817812	40706514846	23121770874	16288936368	7596622360	38214447234	47824114040	29757286776
"sp|Q0K606|RPOB_CUPNH"	1	0	62	7210854510	4068821792	1664025308	3143590072	3094880044	4420657152	1598224142	3101067907	4803717496	3515337502	1928422516	3719802654	6245469106	2503524842	3436101496	4724619098	9377668402	2106427128	1831883004	2991401798
"sp|Q0K607|RPOC_CUPNH"	1	0	58	7363073093	4933736292	1602415502	10613271962	6005420331	4679557560	2128203396	7961260632	7118176698	4534638214	3517088432	6949188596	7313984230	4936814832	5368512360	7263790026	12019204461	5879030744	4412551924	8024520022
"sp|Q0K609|RS12_CUPNH"	1	0	5	20017480	104273490	0	0	225240992	111566900	45146270	22544780	223929200	437550016	52042220	6002850	266644650	111552370	125129800	195022472	199005100	129585974	1807190	14347200
"sp|Q0K610|RS7_CUPNH"	1	0	9	4685827580	1202706156	689821280	382663060	1746920008	1227104746	5766661196	1104540984	1299986326	893617606	1240614358	868114780	5514640888	2139543520	1144001750	5430041294	6278219962	2354768078	4406767708	1006355392
"sp|Q0K613|RS10_CUPNH"	1	0	6	4668677632	2921158280	2104154072	3060600392	2851665024	2510076456	5065947726	2060104576	2547952856	4843462968	3049366348	5003410920	5728754820	2736822400	3418089000	4076708524	5971650688	2935179368	2319277024	3754342708
"sp|Q0K619|RL3_CUPNH"	1	0	12	2115569172	3556113355	3540763644	2323273844	5425791530	3940170922	2476497656	2894975204	4742612040	3374758352	4631001496	3622712800	3112195340	5480428460	4701327496	3729561886	3866579576	5330697040	5664455994	5210452312
"sp|Q0K620|RL4_CUPNH"	1	0	9	1553218400	2407615572	1189254508	2965165996	2817018392	3368699936	4915588336	2674354020	3406125968	2935365140	7104618820	3498262480	9267302528	5261443100	6507850136	5508511700	9499144708	3354881992	6887965536	3711406288
"sp|Q0K621|RL23_CUPNH"	1	0	8	7581115444	4795840076	4191954468	4425344852	8463094912	4622515612	8603464174	4847597336	7352044844	5747803768	6095904120	6462858968	9857283524	5666027348	7062762582	8830524108	10725845856	7852683688	8994485348	8228969108
"sp|Q0K622|RL2_CUPNH"	1	0	11	151837310	44873220	11002200	9602340	175068820	45399520	12282912	36038730	283081428	44013170	62299280	55849619	1083201160	67088970	59574270	785441142	2084114394	46242050	35701410	47969950
"sp|Q0K623|RS19_CUPNH"	1	0	6	496881284	230096500	123647640	170078396	421855234	247900709	3171360504	271782708	443258592	392020700	343894800	328863108	3361411332	247458208	373949300	2234787636	3902265440	310880700	358309200	373388360
"sp|Q0K624|RL22_CUPNH"	1	0	4	2598149648	149134000	81108896	70921296	502292992	149699892	1794676174	126322400	434636092	162287445	217755708	96111400	2646434008	127405490	161516000	1143695000	2509343056	213447400	171059192	140011008
"sp|Q0K625|RS3_CUPNH"	1	0	17	1608305272	1832662784	1075475500	1894650324	866448632	2276929346	803284494	1571301389	2697192174	1920272160	1941494820	4184703334	2470390844	2352244296	2206237428	1702828362	2645049172	2882322906	1259163642	1480972962
"sp|Q0K626|RL16_CUPNH"	1	0	5	3216016928	476442084	308040100	363087608	1922774064	723400916	3063204032	533944600	2416387392	1040027464	1316783300	945155580	4452220368	1111866108	1476505400	3794458732	6599026770	1098833508	1316455092	1317761080
"sp|Q0K627|RL29_CUPNH"	1	0	3	2668109364	440186780	453223008	359489984	384513300	1588611015	4385133244	227042000	358647080	788476992	863035226	204482434	2290856248	694429074	410213149	2181264346	2223646352	423247029	892677118	416200296
"sp|Q0K628|RS17_CUPNH"	1	0	6	144930700	8048060	0	0	24548200	17304700	37217860	27332200	54497700	14939700	39635890	59880130	199613964	64296300	38854330	13764630	290204876	44773200	42495700	89523430
"sp|Q0K629|RL14_CUPNH"	1	0	7	128980110	517951602	433738992	259208100	592005446	467899612	542979192	399491372	481791890	629679992	526912000	477025404	647035440	1137128384	664003900	568896270	1480548286	991630768	884925024	666300960
"sp|Q0K630|RL24_CUPNH"	1	0	6	322259940	845894907	551049173	245442320	1828638632	927259377	2264658536	516889016	1756906914	760630830	976853476	508810458	3612958116	747175816	1068161223	1296403460	3971262188	871670328	824591420	731245755
